日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2003-11-21,0.86,0.78,0.91,0.71,40160,50364454.0,22.73,-11.36,-0.1,4.56
2003-11-28,0.77,0.92,0.94,0.74,17619,22882521.0,25.64,17.95,0.14,2.0
2003-12-05,0.93,0.93,0.99,0.86,41404,54597113.0,14.13,1.09,0.01,4.71
2003-12-12,0.94,1.01,1.02,0.91,28200,37821157.0,11.83,8.6,0.08,3.2
2003-12-19,1.01,0.97,1.06,0.92,25232,34117938.0,13.86,-3.96,-0.04,2.87
2003-12-26,0.97,1.19,1.32,0.97,78016,112131992.0,36.08,22.68,0.22,8.87
2004-01-02,1.16,1.31,1.38,1.14,44197,64891203.0,20.17,10.08,0.12,5.02
2004-01-09,1.31,1.36,1.54,1.27,65424,100141922.0,20.61,3.82,0.05,7.43
2004-01-16,1.35,1.53,1.81,1.34,99963,163905966.0,34.56,12.5,0.17,11.36
2004-01-30,1.54,1.39,1.58,1.36,42402,66831443.0,14.38,-9.15,-0.14,4.82
2004-02-06,1.43,1.46,1.52,1.29,104732,161701468.0,16.55,5.04,0.07,11.9
2004-02-13,1.46,1.49,1.62,1.42,49477,78656751.0,13.7,2.05,0.03,5.62
2004-02-20,1.49,1.43,1.54,1.39,54761,85663439.0,10.07,-4.03,-0.06,6.22
2004-02-27,1.43,1.47,1.53,1.29,49340,76305253.0,16.78,2.8,0.04,5.61
2004-03-05,1.47,1.53,1.61,1.44,48887,78040246.0,11.56,4.08,0.06,5.56
2004-03-12,1.52,1.58,1.61,1.46,39152,62364802.0,9.8,3.27,0.05,4.45
2004-03-19,1.58,1.86,1.9,1.53,77472,131043699.0,23.42,17.72,0.28,8.8
2004-03-26,1.88,1.87,1.95,1.8,52839,91967878.0,8.06,0.54,0.01,6.0
2004-04-02,1.83,2.06,2.08,1.79,39322,68695870.0,15.51,10.16,0.19,4.47
2004-04-09,2.05,2.05,2.35,1.99,30396,57168498.0,17.48,-0.49,-0.01,3.45
2004-04-16,2.07,1.94,2.31,1.85,74375,137811385.0,22.44,-5.37,-0.11,8.45
2004-04-23,1.96,1.94,1.99,1.84,15517,27283532.0,7.73,0.0,0.0,1.76
2004-04-30,1.89,1.75,1.93,1.65,40786,67258535.0,14.43,-9.79,-0.19,4.63
2004-05-14,1.83,1.71,1.85,1.68,9363,15473752.0,9.71,-2.29,-0.04,1.06
2004-05-21,1.7,1.58,1.71,1.47,12203,19100506.0,14.04,-7.6,-0.13,1.39
2004-05-28,1.58,1.67,1.74,1.47,14240,22367069.0,17.09,5.7,0.09,1.62
2004-06-04,1.65,1.72,1.74,1.61,29486,47611353.0,7.78,2.99,0.05,3.35
2004-06-11,1.66,1.64,1.69,1.48,26194,41722194.0,12.21,-4.65,-0.08,2.98
2004-06-18,1.56,1.06,1.64,1.0,32604,46179736.0,39.02,-35.37,-0.58,3.71
2004-06-25,1.1,0.96,1.16,0.95,12119,15886053.0,19.81,-9.43,-0.1,1.38
2004-07-02,0.92,1.03,1.1,0.9,7012,9102941.0,20.83,7.29,0.07,0.8
2004-07-09,1.03,0.84,1.03,0.83,10826,13656178.0,19.42,-18.45,-0.19,1.23
2004-07-16,0.83,0.84,0.88,0.75,37129,45148294.0,15.48,0.0,0.0,4.22
2004-07-23,0.87,0.69,0.88,0.61,46597,54734110.0,32.14,-17.86,-0.15,5.3
2004-07-30,0.63,0.68,0.73,0.63,17693,20428413.0,14.49,-1.45,-0.01,2.01
2004-08-06,0.66,0.73,0.77,0.66,21743,25598342.0,16.18,7.35,0.05,2.47
2004-08-13,0.73,0.67,0.76,0.64,11006,12949470.0,16.44,-8.22,-0.06,1.25
2004-08-20,0.66,0.65,0.67,0.61,8025,9155634.0,8.96,-2.99,-0.02,0.91
2004-08-27,0.68,0.75,0.85,0.65,33959,40422647.0,30.77,15.38,0.1,3.86
2004-09-03,0.73,0.71,0.81,0.67,21470,25488244.0,18.67,-5.33,-0.04,2.44
2004-09-10,0.71,0.8,0.81,0.66,29041,34618860.0,21.13,12.68,0.09,3.3
2004-09-17,0.81,1.01,1.03,0.73,47973,59499852.0,37.5,26.25,0.21,5.45
