日期,上轨,中轴10,下轨
2018-06-28,,,
2018-06-29,,,
2018-07-02,,,
2018-07-03,,,
2018-07-04,,,
2018-07-05,,,
2018-07-06,,,
2018-07-09,,,
2018-07-10,,,
2018-07-11,32.504,31.124,29.744
2018-07-12,32.558,31.348,30.138
2018-07-13,32.702,31.405,30.108
2018-07-16,32.844,31.479,30.114
2018-07-17,32.654,31.408,30.162
2018-07-18,32.635,31.384,30.133
2018-07-19,32.599,31.401,30.203
2018-07-20,32.535,31.458,30.381
2018-07-23,32.612,31.503,30.394
2018-07-24,32.824,31.591,30.358
2018-07-25,32.877,31.732,30.587
2018-07-26,32.82,31.701,30.582
2018-07-27,32.721,31.637,30.553
2018-07-30,32.637,31.598,30.559
2018-07-31,32.641,31.525,30.409
2018-08-01,32.699,31.467,30.235
2018-08-02,33.037,31.354,29.671
2018-08-03,33.457,31.106,28.755
2018-08-06,33.904,30.627,27.35
2018-08-07,33.615,30.162,26.709
2018-08-08,33.353,29.608,25.863
2018-08-09,32.774,29.223,25.672
2018-08-10,32.261,29.03,25.799
2018-08-13,31.714,28.881,26.048
2018-08-14,31.308,28.752,26.196
2018-08-15,30.824,28.581,26.338
2018-08-16,30.718,28.529,26.34
2018-08-17,30.688,28.496,26.304
2018-08-20,30.684,28.685,26.686
2018-08-21,30.784,28.85,26.916
2018-08-22,30.356,29.018,27.68
2018-08-23,30.256,29.093,27.93
2018-08-24,30.144,29.002,27.86
2018-08-27,29.879,28.947,28.015
2018-08-28,29.814,28.929,28.044
2018-08-29,30.903,29.178,27.453
2018-08-30,31.645,29.443,27.241
2018-08-31,31.872,29.688,27.504
2018-09-03,32.163,29.893,27.623
2018-09-04,32.483,30.087,27.691
2018-09-05,32.432,30.328,28.224
2018-09-06,32.412,30.571,28.73
2018-09-07,32.095,30.742,29.389
2018-09-10,32.407,30.635,28.863
2018-09-11,32.518,30.582,28.646
2018-09-12,32.454,30.314,28.174
2018-09-13,32.15,30.082,28.014
2018-09-14,32.019,29.902,27.785
2018-09-17,31.721,29.714,27.707
2018-09-18,31.204,29.506,27.808
2018-09-19,30.924,29.413,27.902
2018-09-20,30.24,29.244,28.248
2018-09-21,29.883,29.167,28.451
2018-09-25,29.928,29.148,28.368
2018-09-26,29.979,29.103,28.227
2018-09-27,30.184,29.008,27.832
2018-09-28,30.187,28.895,27.603
2018-10-08,30.565,28.654,26.743
