日期,支撑线,阻力线
2008-05-12,-6.659,3.888
2008-05-13,-6.651,3.9
2008-05-14,-6.643,3.911
2008-05-15,-6.635,3.922
2008-05-16,-6.627,3.933
2008-05-19,-6.604,3.967
2008-05-20,-6.596,3.978
2008-05-21,-6.588,3.99
2008-05-22,-6.58,4.001
2008-05-23,-6.572,4.012
2008-05-26,-6.548,4.046
2008-05-27,-6.54,4.057
2008-05-28,-6.533,4.068
2008-05-29,-6.525,4.08
2008-05-30,-6.517,4.091
2008-06-02,-6.493,4.125
2008-06-03,-6.485,4.136
2008-06-04,-6.477,4.147
2008-06-05,-6.469,4.159
2008-06-06,-6.461,4.17
2008-06-10,-6.43,4.215
2008-06-11,-6.422,4.226
2008-06-12,-6.414,4.237
2008-06-13,-6.406,4.249
2008-06-16,-6.382,4.282
2008-06-17,-6.375,4.294
2008-06-18,-6.367,4.305
2008-06-19,-6.359,4.316
2008-06-20,-6.351,4.327
2008-06-23,-6.327,4.361
2008-06-24,-6.319,4.372
2008-06-25,-6.311,4.384
2008-06-26,-6.303,4.395
2008-06-27,-6.296,4.406
2008-06-30,-6.272,4.44
2008-07-01,-6.264,4.451
2008-07-02,-6.256,4.462
2008-07-03,-6.248,4.474
2008-07-04,-6.24,4.485
2008-07-07,-6.217,4.519
2008-07-08,-6.209,4.53
2008-07-09,-6.201,4.541
2008-07-10,-6.193,4.553
2008-07-11,-6.185,4.564
2008-07-14,-6.161,4.598
2008-07-15,-6.153,4.609
2008-07-16,-6.145,4.62
2008-07-17,-6.138,4.631
2008-07-18,-6.13,4.643
2008-07-21,-6.106,4.676
2008-07-22,-6.098,4.688
2008-07-23,-6.09,4.699
2008-07-24,-6.082,4.71
2008-07-25,-6.074,4.721
2008-07-28,-6.051,4.755
2008-07-29,-6.043,4.766
2008-07-30,-6.035,4.778
2008-07-31,-6.027,4.789
2008-08-01,-6.019,4.8
2008-08-04,-5.995,4.834
2008-08-05,-5.988,4.845
2008-08-06,-5.98,4.857
2008-08-07,-5.972,4.868
2008-08-08,-5.964,4.879
2008-08-11,-5.94,4.913
2008-08-12,-5.932,4.924
2008-08-13,-5.924,4.935
2008-08-14,-5.916,4.947
2008-08-15,-5.909,4.958
2008-08-19,-5.877,5.003
2008-08-20,-5.869,5.014
2008-08-21,-5.861,5.025
