日期,上轨,中轴10,下轨
2018-08-03,0.0,0.0,0.0
2018-08-10,0.0,0.0,0.0
2018-08-17,0.0,0.0,0.0
2018-08-24,0.0,0.0,0.0
2018-08-31,0.0,0.0,0.0
2018-09-07,0.0,0.0,0.0
2018-09-14,0.0,0.0,0.0
2018-09-21,0.0,0.0,0.0
2018-09-28,0.0,0.0,0.0
2018-10-12,32.742,28.451,24.16
2018-10-19,33.964,27.676,21.388
2018-10-26,33.998,26.889,19.78
2018-11-02,33.708,26.484,19.26
2018-11-09,33.274,25.942,18.61
2018-11-16,32.002,25.368,18.734
2018-11-23,30.547,24.761,18.975
2018-11-30,29.385,24.278,19.171
2018-12-07,27.454,23.716,19.978
2018-12-14,25.828,23.333,20.838
2018-12-21,25.825,23.347,20.869
2018-12-28,25.481,23.673,21.865
2019-01-04,26.127,24.166,22.205
2019-01-11,27.782,24.588,21.394
2019-01-18,28.498,25.027,21.556
2019-01-25,29.091,25.296,21.501
2019-02-01,29.677,25.666,21.655
2019-02-15,30.674,26.22,21.766
2019-02-22,31.542,26.841,22.14
2019-03-01,34.462,27.95,21.438
2019-03-08,36.975,29.41,21.845
2019-03-15,37.954,30.546,23.138
2019-03-22,38.962,31.474,23.986
2019-03-29,39.768,32.206,24.644
2019-04-04,40.414,33.123,25.832
2019-04-12,40.113,33.806,27.499
2019-04-19,39.384,34.456,29.528
2019-04-26,38.749,34.739,30.729
2019-04-30,38.218,34.901,31.584
2019-05-10,38.815,34.37,29.925
2019-05-17,38.511,33.568,28.625
2019-05-24,38.545,32.851,27.157
2019-05-31,37.984,32.118,26.252
2019-06-06,37.23,31.298,25.366
2019-06-14,35.409,30.431,25.453
2019-06-21,34.529,30.175,25.821
2019-06-28,33.757,29.999,26.241
2019-07-05,34.27,30.127,25.984
2019-07-12,34.46,30.195,25.93
2019-07-19,34.714,30.368,26.022
2019-07-26,35.348,30.767,26.186
2019-08-02,35.344,31.082,26.82
2019-08-09,35.278,31.135,26.992
2019-08-16,34.893,31.537,28.181
2019-08-23,34.306,31.886,29.466
2019-08-30,34.361,31.929,29.497
2019-09-06,34.84,32.081,29.322
