日期,上轨,中轴10,下轨
2008-05-16,0.0,0.0,0.0
2008-05-23,0.0,0.0,0.0
2008-05-30,0.0,0.0,0.0
2008-06-06,0.0,0.0,0.0
2008-06-13,0.0,0.0,0.0
2008-06-20,0.0,0.0,0.0
2008-06-27,0.0,0.0,0.0
2008-07-04,0.0,0.0,0.0
2008-07-11,0.0,0.0,0.0
2008-07-18,2.026,1.553,1.08
2008-07-25,2.029,1.557,1.085
2008-08-01,1.949,1.508,1.067
2008-08-08,1.874,1.456,1.038
2008-08-15,1.75,1.347,0.944
2008-08-22,1.775,1.277,0.779
2008-08-29,1.843,1.209,0.575
2008-09-05,1.898,1.136,0.374
2008-09-12,1.918,1.04,0.162
2008-09-19,1.761,0.923,0.085
2008-09-26,1.667,0.799,-0.069
2008-10-10,1.472,0.648,-0.176
2008-10-17,1.248,0.525,-0.198
2008-10-24,0.962,0.422,-0.118
2008-10-31,0.82,0.37,-0.08
2008-11-07,0.668,0.326,-0.016
2008-11-14,0.611,0.311,0.011
2008-11-21,0.622,0.314,0.006
2008-11-28,0.622,0.314,0.006
2008-12-05,0.657,0.324,-0.009
2008-12-12,0.699,0.358,0.017
2008-12-19,0.851,0.446,0.041
2008-12-26,0.897,0.51,0.123
2008-12-31,0.932,0.563,0.194
2009-01-09,1.054,0.629,0.204
2009-01-16,1.131,0.692,0.253
2009-01-23,1.171,0.738,0.305
2009-02-06,1.222,0.786,0.35
2009-02-13,1.208,0.854,0.5
2009-02-20,1.223,0.904,0.585
2009-02-27,1.142,0.939,0.736
2009-03-06,1.159,0.951,0.743
2009-03-13,1.232,0.998,0.764
2009-03-20,1.241,1.039,0.837
2009-03-27,1.252,1.048,0.844
2009-04-03,1.427,1.097,0.767
2009-04-10,1.546,1.155,0.764
2009-04-17,1.651,1.209,0.767
2009-04-24,1.722,1.258,0.794
2009-04-30,1.775,1.304,0.833
2009-05-08,1.747,1.363,0.979
2009-05-15,1.749,1.418,1.087
2009-05-22,1.766,1.449,1.132
2009-05-27,1.744,1.482,1.22
2009-06-05,1.592,1.517,1.442
2009-06-12,1.594,1.515,1.436
2009-06-19,1.595,1.51,1.425
2009-06-26,1.585,1.503,1.421
2009-07-03,1.579,1.498,1.417
2009-07-10,1.686,1.519,1.352
2009-07-17,2.641,1.682,0.723
2009-07-24,3.047,1.821,0.595
2009-07-31,3.6,2.02,0.44
2009-08-07,4.08,2.243,0.406
2009-08-14,4.281,2.428,0.575
2009-08-21,4.343,2.581,0.819
2009-08-28,4.303,2.707,1.111
2009-09-04,4.205,2.834,1.463
