日期,上轨,中轴10,下轨
2008-05-12,0.0,0.0,0.0
2008-05-13,0.0,0.0,0.0
2008-05-14,0.0,0.0,0.0
2008-05-15,0.0,0.0,0.0
2008-05-16,0.0,0.0,0.0
2008-05-19,0.0,0.0,0.0
2008-05-20,0.0,0.0,0.0
2008-05-21,0.0,0.0,0.0
2008-05-22,0.0,0.0,0.0
2008-05-23,1.963,1.639,1.315
2008-05-26,1.921,1.684,1.447
2008-05-27,1.912,1.693,1.474
2008-05-28,1.908,1.701,1.494
2008-05-29,1.91,1.718,1.526
2008-05-30,1.876,1.747,1.618
2008-06-02,1.876,1.747,1.618
2008-06-03,1.942,1.764,1.586
2008-06-04,1.973,1.775,1.577
2008-06-05,2.009,1.797,1.585
2008-06-06,2.04,1.808,1.576
2008-06-10,2.043,1.814,1.585
2008-06-11,2.025,1.825,1.625
2008-06-12,2.015,1.83,1.645
2008-06-13,2.071,1.806,1.541
2008-06-16,2.116,1.771,1.426
2008-06-17,2.171,1.725,1.279
2008-06-18,2.124,1.672,1.22
2008-06-19,2.094,1.605,1.116
2008-06-20,2.009,1.542,1.075
2008-06-23,1.872,1.472,1.072
2008-06-24,1.761,1.429,1.097
2008-06-25,1.662,1.397,1.132
2008-06-26,1.527,1.363,1.199
2008-06-27,1.484,1.335,1.186
2008-06-30,1.453,1.319,1.185
2008-07-01,1.453,1.316,1.179
2008-07-02,1.424,1.306,1.188
2008-07-03,1.443,1.322,1.201
2008-07-04,1.444,1.324,1.204
2008-07-07,1.45,1.335,1.22
2008-07-08,1.466,1.34,1.214
2008-07-09,1.466,1.34,1.214
2008-07-10,1.547,1.36,1.173
2008-07-11,1.631,1.401,1.171
2008-07-14,1.7,1.439,1.178
2008-07-15,1.714,1.469,1.224
2008-07-16,1.707,1.481,1.255
2008-07-17,1.708,1.479,1.25
2008-07-18,1.697,1.49,1.283
2008-07-21,1.695,1.504,1.313
2008-07-22,1.694,1.509,1.324
2008-07-23,1.691,1.515,1.339
2008-07-24,1.679,1.506,1.333
2008-07-25,1.646,1.496,1.346
2008-07-28,1.608,1.488,1.368
2008-07-29,1.608,1.488,1.368
2008-07-30,1.609,1.487,1.365
2008-07-31,1.627,1.481,1.335
2008-08-01,1.635,1.474,1.313
2008-08-04,1.64,1.454,1.268
2008-08-05,1.642,1.436,1.23
2008-08-06,1.64,1.418,1.196
2008-08-07,1.63,1.398,1.166
2008-08-08,1.593,1.371,1.149
2008-08-11,1.531,1.331,1.131
2008-08-12,1.509,1.27,1.031
2008-08-13,1.521,1.216,0.911
2008-08-14,1.521,1.175,0.829
2008-08-15,1.491,1.126,0.761
2008-08-19,1.458,1.079,0.7
2008-08-20,1.4,1.04,0.68
2008-08-21,1.333,0.992,0.651
2008-08-22,1.241,0.945,0.649
2008-08-25,1.111,0.897,0.683
2008-08-26,1.012,0.843,0.674
2008-08-27,1.002,0.81,0.618
2008-08-28,1.007,0.779,0.551
2008-08-29,0.977,0.75,0.523
2008-09-01,0.954,0.721,0.488
2008-09-02,0.93,0.692,0.454
2008-09-03,0.857,0.657,0.457
2008-09-04,0.809,0.637,0.465
2008-09-05,0.752,0.606,0.46
2008-09-08,0.697,0.569,0.441
2008-09-09,0.693,0.547,0.401
2008-09-10,0.68,0.525,0.37
2008-09-11,0.679,0.504,0.329
2008-09-12,0.654,0.478,0.302
2008-09-16,0.635,0.453,0.271
2008-09-17,0.615,0.43,0.245
2008-09-18,0.578,0.407,0.236
2008-09-19,0.51,0.393,0.276
2008-09-22,0.48,0.385,0.29
2008-09-23,0.484,0.37,0.256
2008-09-24,0.508,0.344,0.18
2008-09-25,0.498,0.325,0.152
2008-09-26,0.494,0.307,0.12
2008-10-06,0.495,0.284,0.073
2008-10-07,0.492,0.263,0.034
2008-10-08,0.484,0.242,-0.0
2008-10-09,0.466,0.22,-0.026
2008-10-10,0.382,0.176,-0.03
2008-10-13,0.284,0.136,-0.012
2008-10-14,0.241,0.113,-0.015
2008-10-15,0.23,0.104,-0.022
2008-10-16,0.189,0.087,-0.015
2008-10-17,0.164,0.081,-0.002
2008-10-20,0.205,0.09,-0.025
2008-10-21,0.226,0.097,-0.032
2008-10-22,0.23,0.099,-0.032
2008-10-23,0.268,0.112,-0.044
2008-10-24,0.295,0.133,-0.029
2008-10-27,0.299,0.151,0.003
2008-10-28,0.325,0.176,0.027
2008-10-29,0.354,0.201,0.048
2008-10-30,0.38,0.233,0.086
2008-10-31,0.4,0.255,0.11
2008-11-03,0.408,0.263,0.118
2008-11-04,0.407,0.27,0.133
2008-11-05,0.396,0.291,0.186
2008-11-06,0.404,0.301,0.198
2008-11-07,0.415,0.314,0.213
2008-11-10,0.433,0.338,0.243
2008-11-11,0.442,0.348,0.254
2008-11-12,0.45,0.355,0.26
2008-11-13,0.478,0.364,0.25
2008-11-14,0.506,0.376,0.246
2008-11-17,0.561,0.402,0.243
2008-11-18,0.555,0.423,0.291
2008-11-19,0.621,0.452,0.283
2008-11-20,0.639,0.475,0.311
2008-11-21,0.642,0.491,0.34
2008-11-24,0.642,0.491,0.34
2008-11-25,0.64,0.492,0.344
2008-11-26,0.642,0.491,0.34
2008-11-27,0.643,0.487,0.331
2008-11-28,0.65,0.476,0.302
2008-12-01,0.63,0.465,0.3
2008-12-02,0.634,0.468,0.302
2008-12-03,0.6,0.46,0.32
2008-12-04,0.585,0.456,0.327
2008-12-05,0.6,0.46,0.32
2008-12-08,0.642,0.477,0.312
2008-12-09,0.665,0.496,0.327
2008-12-10,0.717,0.528,0.339
2008-12-11,0.729,0.548,0.367
2008-12-12,0.698,0.565,0.432
2008-12-15,0.688,0.579,0.47
2008-12-16,0.715,0.599,0.483
2008-12-17,0.729,0.611,0.493
2008-12-18,0.811,0.642,0.473
2008-12-19,0.901,0.676,0.451
2008-12-22,0.982,0.71,0.438
2008-12-23,0.988,0.727,0.466
2008-12-24,0.989,0.728,0.467
2008-12-25,0.992,0.741,0.49
2008-12-26,0.973,0.765,0.557
2008-12-29,0.954,0.778,0.602
2008-12-30,0.957,0.788,0.619
2008-12-31,0.948,0.798,0.648
2009-01-05,0.943,0.795,0.647
2009-01-06,0.935,0.793,0.651
2009-01-07,0.915,0.789,0.663
2009-01-08,0.964,0.808,0.652
2009-01-09,1.02,0.838,0.656
2009-01-12,1.062,0.864,0.666
2009-01-13,1.067,0.878,0.689
2009-01-14,1.075,0.906,0.737
2009-01-15,1.088,0.926,0.764
2009-01-16,1.077,0.949,0.821
2009-01-19,1.055,0.966,0.877
2009-01-20,1.047,0.973,0.899
2009-01-21,1.041,0.976,0.911
2009-01-22,1.041,0.977,0.913
2009-01-23,1.034,0.969,0.904
2009-02-02,1.026,0.966,0.906
2009-02-03,1.032,0.977,0.922
2009-02-04,1.043,0.98,0.917
2009-02-05,1.038,0.976,0.914
2009-02-06,1.041,0.977,0.913
2009-02-09,1.092,0.99,0.888
2009-02-10,1.111,1.001,0.891
2009-02-11,1.118,1.012,0.906
2009-02-12,1.116,1.014,0.912
2009-02-13,1.111,1.025,0.939
2009-02-16,1.121,1.035,0.949
2009-02-17,1.122,1.036,0.95
2009-02-18,1.126,1.029,0.932
2009-02-19,1.122,1.032,0.942
2009-02-20,1.13,1.038,0.946
2009-02-23,1.164,1.045,0.926
2009-02-24,1.159,1.041,0.923
2009-02-25,1.157,1.039,0.921
2009-02-26,1.155,1.042,0.929
2009-02-27,1.175,1.026,0.877
2009-03-02,1.168,1.009,0.85
2009-03-03,1.166,0.997,0.828
2009-03-04,1.168,1.001,0.834
2009-03-05,1.175,1.006,0.837
2009-03-06,1.166,1.002,0.838
2009-03-09,1.128,0.994,0.86
2009-03-10,1.193,1.011,0.829
2009-03-11,1.235,1.026,0.817
2009-03-12,1.27,1.043,0.816
2009-03-13,1.306,1.079,0.852
2009-03-16,1.312,1.107,0.902
2009-03-17,1.301,1.137,0.973
2009-03-18,1.304,1.16,1.016
2009-03-19,1.306,1.18,1.054
2009-03-20,1.273,1.195,1.117
2009-03-23,1.251,1.203,1.155
2009-03-24,1.251,1.203,1.155
2009-03-25,1.262,1.198,1.134
2009-03-26,1.271,1.192,1.113
2009-03-27,1.267,1.178,1.089
2009-03-30,1.265,1.175,1.085
2009-03-31,1.316,1.187,1.058
2009-04-01,1.346,1.196,1.046
2009-04-02,1.387,1.208,1.029
2009-04-03,1.483,1.239,0.995
2009-04-07,1.556,1.271,0.986
2009-04-08,1.59,1.294,0.998
2009-04-09,1.645,1.336,1.027
2009-04-10,1.663,1.375,1.087
2009-04-13,1.672,1.424,1.176
2009-04-14,1.703,1.477,1.251
2009-04-15,1.733,1.509,1.285
2009-04-16,1.723,1.535,1.347
2009-04-17,1.701,1.554,1.407
2009-04-20,1.703,1.562,1.421
2009-04-21,1.708,1.572,1.436
2009-04-22,1.692,1.578,1.464
2009-04-23,1.695,1.573,1.451
2009-04-24,1.694,1.575,1.456
2009-04-27,1.726,1.552,1.378
2009-04-28,1.701,1.519,1.337
2009-04-29,1.662,1.498,1.334
2009-04-30,1.65,1.493,1.336
2009-05-04,1.665,1.498,1.331
2009-05-06,1.674,1.501,1.328
2009-05-07,1.662,1.497,1.332
2009-05-08,1.661,1.495,1.329
2009-05-11,1.658,1.491,1.324
2009-05-12,1.652,1.487,1.322
2009-05-13,1.641,1.497,1.353
2009-05-14,1.622,1.511,1.4
2009-05-15,1.632,1.525,1.418
2009-05-18,1.645,1.531,1.417
2009-05-19,1.712,1.545,1.378
2009-05-20,1.729,1.551,1.373
2009-05-21,1.732,1.553,1.374
2009-05-22,1.731,1.561,1.391
2009-05-25,1.729,1.563,1.397
2009-05-26,1.728,1.564,1.4
2009-05-27,1.723,1.569,1.415
2009-06-01,1.724,1.568,1.412
2009-06-02,1.723,1.557,1.391
2009-06-03,1.717,1.545,1.373
2009-06-04,1.635,1.52,1.405
2009-06-05,1.574,1.499,1.424
2009-06-08,1.556,1.481,1.406
2009-06-09,1.542,1.465,1.388
2009-06-10,1.541,1.458,1.375
2009-06-11,1.534,1.455,1.376
2009-06-12,1.522,1.451,1.38
2009-06-15,1.512,1.446,1.38
2009-06-16,1.507,1.443,1.379
2009-06-17,1.513,1.445,1.377
2009-06-18,1.513,1.445,1.377
2009-06-19,1.515,1.446,1.377
2009-06-22,1.512,1.45,1.388
