日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-07-30,31.38,31.63,32.04,31.19,245126,790950160.0,2.71,0.73,0.23,1.35
2018-07-31,31.52,30.81,31.55,30.45,223288,707089248.0,3.48,-2.59,-0.82,1.23
2018-08-01,30.82,30.52,31.5,30.5,188303,595640496.0,3.25,-0.94,-0.29,1.04
2018-08-02,30.51,29.29,30.59,28.4,382638,1142220416.0,7.18,-4.03,-1.23,2.11
2018-08-03,29.27,28.53,29.35,28.41,200896,590201600.0,3.21,-2.59,-0.76,1.11
2018-08-06,28.41,27.01,28.42,26.68,325138,908628896.0,6.1,-5.33,-1.52,1.79
2018-08-07,27.06,27.65,27.65,26.33,358702,994369808.0,4.89,2.37,0.64,1.98
2018-08-08,27.2,26.54,27.5,26.51,248079,685040912.0,3.58,-4.01,-1.11,1.37
2018-08-09,26.63,27.85,28.53,26.5,433602,1230511376.0,7.65,4.94,1.31,2.39
2018-08-10,27.9,29.47,29.71,27.71,557644,1647859824.0,7.18,5.82,1.62,3.07
2018-08-13,29.1,30.14,30.29,28.8,519396,1571874064.0,5.06,2.27,0.67,2.86
2018-08-14,30.04,29.52,30.04,29.36,303122,914872784.0,2.26,-2.06,-0.62,1.67
2018-08-15,29.52,28.81,29.65,28.69,330019,978334512.0,3.25,-2.41,-0.71,1.82
2018-08-16,28.22,28.77,29.35,28.14,286627,847022528.0,4.2,-0.14,-0.04,1.58
2018-08-17,29.08,28.2,29.29,28.01,239778,699100320.0,4.45,-1.98,-0.57,1.32
2018-08-20,27.9,28.9,28.9,27.7,233594,677278960.0,4.26,2.48,0.7,1.29
2018-08-21,29.0,29.3,29.59,28.77,311675,930532448.0,2.84,1.38,0.4,1.71
2018-08-22,29.22,28.22,29.23,27.91,303322,882363488.0,4.51,-3.69,-1.08,1.67
2018-08-23,28.21,28.6,28.98,28.15,249015,729037088.0,2.94,1.35,0.38,1.37
2018-08-24,28.61,28.56,29.19,28.47,243564,717135296.0,2.52,-0.14,-0.04,1.34
2018-08-27,28.8,29.59,29.6,28.66,362898,1084640608.0,3.29,3.61,1.03,2.0
2018-08-28,29.91,29.34,30.0,29.16,280906,844891488.0,2.84,-0.84,-0.25,1.55
2018-08-29,29.34,31.3,31.75,29.17,813504,2551848272.0,8.79,6.68,1.96,4.48
2018-08-30,31.27,31.42,31.68,30.91,545314,1740569040.0,2.46,0.38,0.12,3.0
2018-08-31,31.18,30.65,31.2,30.28,425547,1329682896.0,2.93,-2.45,-0.77,2.34
2018-09-03,30.4,30.95,31.0,29.85,323242,1007642896.0,3.75,0.98,0.3,1.78
2018-09-04,30.7,31.24,31.55,30.3,386279,1217199520.0,4.04,0.94,0.29,2.13
2018-09-05,31.0,30.63,31.65,30.57,375154,1192690816.0,3.46,-1.95,-0.61,2.06
2018-09-06,30.41,31.03,31.49,30.31,390760,1238569856.0,3.85,1.31,0.4,2.15
2018-09-07,31.03,30.27,31.74,29.9,459923,1449131552.0,5.93,-2.45,-0.76,2.53
2018-09-10,30.2,28.52,30.2,28.31,389455,1155323856.0,6.24,-5.78,-1.75,2.14
2018-09-11,28.6,28.81,29.17,28.3,193816,569323088.0,3.05,1.02,0.29,1.07
2018-09-12,28.98,28.62,29.18,28.49,176307,519479280.0,2.4,-0.66,-0.19,0.97
2018-09-13,29.24,29.1,29.37,28.34,218150,643894160.0,3.6,1.68,0.48,1.2
2018-09-14,29.15,28.85,29.7,28.81,251759,751649536.0,3.06,-0.86,-0.25,1.39
2018-09-17,28.85,29.07,29.23,28.31,249772,734724352.0,3.19,0.76,0.22,1.37
2018-09-18,28.78,29.16,29.23,28.39,282968,833951600.0,2.89,0.31,0.09,1.56
2018-09-19,29.08,29.7,29.86,28.81,333863,1003279712.0,3.6,1.85,0.54,1.84
2018-09-20,29.7,29.34,29.97,29.3,199832,602168416.0,2.26,-1.21,-0.36,1.1
2018-09-21,29.4,29.5,29.76,29.07,278303,837388400.0,2.35,0.55,0.16,1.53
2018-09-25,28.2,28.33,28.68,27.51,394627,1137008000.0,3.97,-3.97,-1.17,2.17
2018-09-26,28.52,28.36,28.78,28.23,252830,734837488.0,1.94,0.11,0.03,1.39
2018-09-27,28.56,27.67,28.75,27.63,260627,750851920.0,3.95,-2.43,-0.69,1.43
2018-09-28,27.9,27.97,28.05,27.61,211983,602818240.0,1.59,1.08,0.3,1.17
2018-10-08,27.28,26.44,27.46,26.4,270253,743980272.0,3.79,-5.47,-1.53,1.49
2018-10-09,26.7,26.55,26.92,26.38,148314,403223856.0,2.04,0.42,0.11,0.82
2018-10-10,26.57,26.3,26.75,25.56,216323,578272064.0,4.48,-0.94,-0.25,1.19
2018-10-11,25.2,23.61,25.2,23.61,426746,1059543216.0,6.05,-10.23,-2.69,2.35
2018-10-12,23.08,22.51,23.08,21.23,568127,1296729392.0,7.84,-4.66,-1.1,3.13
2018-10-15,22.4,21.96,22.85,21.85,332028,760852032.0,4.44,-2.44,-0.55,1.83
2018-10-16,21.76,19.7,21.9,19.7,668444,1411635136.0,10.02,-10.29,-2.26,3.68
2018-10-17,19.96,20.33,20.65,19.2,659124,1357173136.0,7.36,3.2,0.63,3.63
2018-10-18,19.9,20.18,20.65,19.82,431433,901799472.0,4.08,-0.74,-0.15,2.37
2018-10-19,19.9,20.78,20.95,19.75,473746,999855264.0,5.95,2.97,0.6,2.61
2018-10-22,21.2,22.92,22.92,20.81,703062,1594728416.0,10.15,10.3,2.14,3.87
2018-10-23,22.98,22.69,23.48,22.33,565179,1323147600.0,5.02,-1.0,-0.23,3.11
2018-10-24,22.34,22.17,22.66,21.75,400991,911941712.0,4.01,-2.29,-0.52,2.21
2018-10-25,21.07,21.6,21.85,20.7,385143,839734400.0,5.19,-2.57,-0.57,2.12
2018-10-26,21.9,21.6,22.17,21.48,244428,547558064.0,3.19,0.0,0.0,1.34
2018-10-29,21.65,21.35,22.0,21.2,231276,514220224.0,3.7,-1.16,-0.25,1.27
2018-10-30,21.14,21.64,21.98,20.4,324796,711779184.0,7.4,1.36,0.29,1.79
2018-10-31,21.8,21.97,22.18,21.68,278176,626792016.0,2.31,1.52,0.33,1.53
2018-11-01,23.81,23.74,24.23,23.41,1132227,2785199664.0,3.73,8.06,1.77,6.23
2018-11-02,24.23,24.15,24.34,23.77,856456,2116054592.0,2.4,1.73,0.41,4.71
2018-11-05,24.14,24.33,24.77,23.8,571924,1422664464.0,4.02,0.75,0.18,3.15
